N:6980368, B:11010101000001100010000, Hex:6A8310
N:5517055, B:10101000010111011111111, Hex:542EFF
N:1336159, B:101000110001101011111, Hex:14635F
N:6750185, B:11001101111111111101001, Hex:66FFE9
N:1771937, B:110110000100110100001, Hex:1B09A1
N:360952, B:1011000000111111000, Hex:581F8
N:5672561, B:10101101000111001110001, Hex:568E71
N:916583, B:11011111110001100111, Hex:DFC67
N:2700138, B:1010010011001101101010, Hex:29336A
N:9645053, B:100100110010101111111101, Hex:932BFD
N:1181110, B:100100000010110110110, Hex:1205B6
N:1492185, B:101101100010011011001, Hex:16C4D9
N:4018595, B:1111010101000110100011, Hex:3D51A3
N:7654888, B:11101001100110111101000, Hex:74CDE8
N:7062453, B:11010111100001110110101, Hex:6BC3B5
N:2478010, B:1001011100111110111010, Hex:25CFBA
N:6134768, B:10111011001101111110000, Hex:5D9BF0
N:8420417, B:100000000111110001000001, Hex:807C41
N:2917489, B:1011001000010001110001, Hex:2C8471
N:3340773, B:1100101111100111100101, Hex:32F9E5
N:1115956, B:100010000011100110100, Hex:110734
N:9172192, B:100010111111010011100000, Hex:8BF4E0
N:6271996, B:10111111011001111111100, Hex:5FB3FC
N:8686939, B:100001001000110101011011, Hex:848D5B
N:50986, B:1100011100101010, Hex:C72A
N:9376410, B:100011110001001010011010, Hex:8F129A
N:5962327, B:10110101111101001010111, Hex:5AFA57
N:7686891, B:11101010100101011101011, Hex:754AEB
N:6615183, B:11001001111000010001111, Hex:64F08F
N:1864844, B:111000111010010001100, Hex:1C748C
N:3329962, B:1100101100111110101010, Hex:32CFAA
N:3942794, B:1111000010100110001010, Hex:3C298A
N:2614836, B:1001111110011000110100, Hex:27E634
N:7406772, B:11100010000010010110100, Hex:7104B4
N:2384190, B:1001000110000100111110, Hex:24613E
N:398347, B:1100001010000001011, Hex:6140B
N:8698503, B:100001001011101010000111, Hex:84BA87
N:9551696, B:100100011011111101010000, Hex:91BF50
N:1019556, B:11111000111010100100, Hex:F8EA4
N:1677430, B:110011001100001110110, Hex:199876
N:3479629, B:1101010001100001001101, Hex:35184D
N:9309008, B:100011100000101101010000, Hex:8E0B50
N:5266170, B:10100000101101011111010, Hex:505AFA
N:4094340, B:1111100111100110000100, Hex:3E7984
N:1754055, B:110101100001111000111, Hex:1AC3C7
N:5861132, B:10110010110111100001100, Hex:596F0C
N:4471329, B:10001000011101000100001, Hex:443A21
N:8826052, B:100001101010110011000100, Hex:86ACC4
N:7469325, B:11100011111100100001101, Hex:71F90D
N:1973172, B:111100001101110110100, Hex:1E1BB4
N:53145, B:1100111110011001, Hex:CF99
N:3897508, B:1110110111100010100100, Hex:3B78A4
N:7773386, B:11101101001110011001010, Hex:769CCA
N:6089829, B:10111001110110001100101, Hex:5CEC65
N:4223424, B:10000000111000111000000, Hex:4071C0
N:9761752, B:100101001111001111011000, Hex:94F3D8
N:7930799, B:11110010000001110101111, Hex:7903AF
N:3597495, B:1101101110010010110111, Hex:36E4B7
N:9302948, B:100011011111001110100100, Hex:8DF3A4
N:2288712, B:1000101110110001001000, Hex:22EC48
N:197187, B:110000001001000011, Hex:30243
N:5266939, B:10100000101110111111011, Hex:505DFB
N:221545, B:110110000101101001, Hex:36169
N:7957027, B:11110010110101000100011, Hex:796A23
N:3195361, B:1100001100000111100001, Hex:30C1E1
N:7106269, B:11011000110111011011101, Hex:6C6EDD
N:9633312, B:100100101111111000100000, Hex:92FE20
N:9713704, B:100101000011100000101000, Hex:943828
N:91925, B:10110011100010101, Hex:16715
N:4418686, B:10000110110110001111110, Hex:436C7E
N:9682250, B:100100111011110101001010, Hex:93BD4A
N:2583824, B:1001110110110100010000, Hex:276D10
N:4979126, B:10010111111100110110110, Hex:4BF9B6
N:6280954, B:10111111101011011111010, Hex:5FD6FA
N:1228610, B:100101011111101000010, Hex:12BF42
N:705518, B:10101100001111101110, Hex:AC3EE
N:1017653, B:11111000011100110101, Hex:F8735
N:500098, B:1111010000110000010, Hex:7A182
N:7210727, B:11011100000011011100111, Hex:6E06E7
N:4250898, B:10000001101110100010010, Hex:40DD12
N:4055028, B:1111011101111111110100, Hex:3DDFF4
N:2754240, B:1010100000011011000000, Hex:2A06C0
N:452999, B:1101110100110000111, Hex:6E987
N:6831458, B:11010000011110101100010, Hex:683D62
N:207636, B:110010101100010100, Hex:32B14
N:7280635, B:11011110001011111111011, Hex:6F17FB
N:3308937, B:1100100111110110001001, Hex:327D89
N:4303570, B:10000011010101011010010, Hex:41AAD2
N:8375055, B:11111111100101100001111, Hex:7FCB0F
N:1457960, B:101100011111100101000, Hex:163F28
N:5197625, B:10011110100111100111001, Hex:4F4F39
N:3144371, B:1011111111101010110011, Hex:2FFAB3
N:6674138, B:11001011101011011011010, Hex:65D6DA
N:2692106, B:1010010001010000001010, Hex:29140A
N:2276769, B:1000101011110110100001, Hex:22BDA1
N:1940971, B:111011001110111101011, Hex:1D9DEB
N:3288264, B:1100100010110011001000, Hex:322CC8
N:4819803, B:10010011000101101011011, Hex:498B5B
N:9431005, B:100011111110011111011101, Hex:8FE7DD
N:3992019, B:1111001110100111010011, Hex:3CE9D3
N:8184782, B:11111001110001111001110, Hex:7CE3CE
N:2847975, B:1010110111010011100111, Hex:2B74E7
N:7891025, B:11110000110100001010001, Hex:786851
N:900082, B:11011011101111110010, Hex:DBBF2
N:1831532, B:110111111001001101100, Hex:1BF26C
N:8428253, B:100000001001101011011101, Hex:809ADD
N:2905752, B:1011000101011010011000, Hex:2C5698
N:9763121, B:100101001111100100110001, Hex:94F931
N:257890, B:111110111101100010, Hex:3EF62
N:4699761, B:10001111011011001110001, Hex:47B671
N:359541, B:1010111110001110101, Hex:57C75
N:3446150, B:1101001001010110000110, Hex:349586
N:4246818, B:10000001100110100100010, Hex:40CD22
N:1848840, B:111000011011000001000, Hex:1C3608
N:938480, B:11100101000111110000, Hex:E51F0
N:227465, B:110111100010001001, Hex:37889
N:3923488, B:1110111101111000100000, Hex:3BDE20
N:8915697, B:100010000000101011110001, Hex:880AF1
N:4309094, B:10000011100000001100110, Hex:41C066
N:3891251, B:1110110110000000110011, Hex:3B6033
N:8627956, B:100000111010011011110100, Hex:83A6F4
N:5884613, B:10110011100101011000101, Hex:59CAC5
N:1659318, B:110010101000110110110, Hex:1951B6
N:1834855, B:110111111111101100111, Hex:1BFF67
N:3386751, B:1100111010110101111111, Hex:33AD7F
N:3000166, B:1011011100011101100110, Hex:2DC766
N:9135626, B:100010110110011000001010, Hex:8B660A
N:4869260, B:10010100100110010001100, Hex:4A4C8C
N:76550, B:10010101100000110, Hex:12B06
N:432271, B:1101001100010001111, Hex:6988F
N:251028, B:111101010010010100, Hex:3D494
N:7016218, B:11010110000111100011010, Hex:6B0F1A
N:6896099, B:11010010011100111100011, Hex:6939E3
N:8386350, B:11111111111011100101110, Hex:7FF72E
N:8637147, B:100000111100101011011011, Hex:83CADB
N:936705, B:11100100101100000001, Hex:E4B01
N:6602175, B:11001001011110110111111, Hex:64BDBF
N:1429181, B:101011100111010111101, Hex:15CEBD
N:8395138, B:100000000001100110000010, Hex:801982
N:6132809, B:10111011001010001001001, Hex:5D9449
N:5936917, B:10110101001011100010101, Hex:5A9715
N:2878578, B:1010111110110001110010, Hex:2BEC72
N:158885, B:100110110010100101, Hex:26CA5
N:2441957, B:1001010100001011100101, Hex:2542E5
N:5914794, B:10110100100000010101010, Hex:5A40AA
